2457756.953970 0.97823012 0.00064247 
2457756.956440 0.97924518 0.00060540 
2457756.958910 0.97964702 0.00060396 
2457756.961380 0.98064167 0.00059651 
2457756.963850 0.98083113 0.00059845 
2457756.966320 0.97973672 0.00058302 
2457756.968800 0.97707655 0.00057107 
2457756.971260 0.98026208 0.00058154 
2457756.973740 0.97986162 0.00056833 
2457756.976200 0.97865806 0.00056881 
2457756.978680 0.97822964 0.00056343 
2457756.981150 0.97663938 0.00055559 
2457756.983620 0.97175673 0.00054865 
2457756.986100 0.97063059 0.00054416 
2457756.988580 0.96756878 0.00054596 
2457756.991040 0.96598250 0.00053850 
2457756.993510 0.96556397 0.00054148 
2457756.995980 0.96572551 0.00053992 
2457756.998450 0.96404749 0.00053863 
2457757.000930 0.96186703 0.00053369 
2457757.003400 0.96256715 0.00053427 
2457757.005870 0.96318009 0.00053351 
2457757.008340 0.96481375 0.00053269 
2457757.010810 0.96352405 0.00053333 
2457757.013290 0.96305806 0.00053349 
2457757.015750 0.96194351 0.00053050 
2457757.018230 0.96179995 0.00053030 
2457757.020710 0.96240734 0.00053086 
2457757.023180 0.96203277 0.00052792 
2457757.025650 0.96102734 0.00052578 
2457757.028130 0.96187993 0.00052650 
2457757.030590 0.96080334 0.00052323 
2457757.033070 0.96133743 0.00052503 
2457757.035530 0.96029221 0.00051917 
2457757.040470 0.95917086 0.00052021 
2457757.042950 0.96037177 0.00051817 
2457757.045420 0.96168184 0.00052375 
2457757.047890 0.96209607 0.00052094 
2457757.050360 0.96110730 0.00051524 
2457757.052820 0.96406587 0.00052259 
2457757.055300 0.96130372 0.00051352 
2457757.057770 0.96182269 0.00051312 
2457757.060240 0.96199919 0.00051550 
2457757.062720 0.96183014 0.00051715 
2457757.065190 0.96303710 0.00051855 
2457757.067660 0.96233611 0.00051419 
2457757.070130 0.96171417 0.00051592 
2457757.072590 0.96410886 0.00052083 
2457757.075070 0.96373472 0.00052369 
2457757.077550 0.96544764 0.00054160 
2457757.080010 0.96503097 0.00052959 
2457757.082490 0.96492473 0.00052153 
2457757.084950 0.96753498 0.00053325 
2457757.087420 0.96963563 0.00053815 
2457757.089900 0.97334217 0.00054677 
2457757.092360 0.97226320 0.00053490 
2457757.094840 0.97616981 0.00053885 
2457757.097300 0.97847098 0.00054084 
2457757.099780 0.97810839 0.00054570 
2457757.102260 0.97858938 0.00053940 
2457757.104720 0.97986990 0.00055007 
2457757.107200 0.98110502 0.00056141 
2457757.109680 0.98037355 0.00055609 
2457757.112150 0.97996016 0.00055027 
2457757.114630 0.97932191 0.00054098 
2457757.117090 0.97891241 0.00053976 
2457757.119570 0.97911739 0.00053856 
2457757.122050 0.98040730 0.00054100 
2457757.124510 0.97970009 0.00053605 
2457757.126990 0.97925015 0.00053815 
2457757.129470 0.97852418 0.00054010 
2457757.131930 0.97838728 0.00053632 
2457757.134410 0.97686365 0.00052768 
2457757.136890 0.97694654 0.00052856 
2457757.139350 0.97700509 0.00052990 
2457757.141830 0.97651203 0.00052843 
2457757.144290 0.97689118 0.00053133 
2457757.146770 0.97802949 0.00052932 
2457757.149250 0.97664548 0.00052543 
2457757.151710 0.97690016 0.00053224 
2457757.154190 0.97599334 0.00052623 
